cricsheet_id,cricinfo_id,name,full_name,country,dob,batting_style,bowling_style,playing_role
e2c882d1,1437344,Adrian Nicholas Lascu, Adrian Nicholas Lascu,Romania,10577.0,Right-hand bat,Right-arm medium,
4c7d4170,1321753,Annie Le Ray, Annie Le Ray,Guernsey,,,,
2327fdc7,1409303,Apriliandi Rahayu, Apriliandi Abdillah Rahayu,Indonesia,11071.0,Right-hand bat,Right-arm medium,
a35e3f07,1438325,Avaniben Joshi, Avaniben Joshi,Czech Republic,4852.0,Right-hand bat,Right-arm medium,
6a32ef43,1429988,Christine McNally, Christine Tracey McNally,Gibraltar,4123.0,Right-hand bat,Right-arm medium,
c73c75f9,1451259,Febrianto Heo, Febrianto Frans Jordi Heo,Indonesia,9898.0,Right-hand bat,Right-arm offbreak,
98e3f1de,1438800,Scott Burdekin, Scott Burdekin,Cyprus,9190.0,Right-hand bat,Right-arm offbreak,
3aac5463,1429993,Yanira Blagg, Yanira Sebastian Blagg,Gibraltar,13197.0,Right-hand bat,Right-arm medium,
ef3aeb35,1326690,Lihle Thobela,-Lihle Thobela,Eswatini,11076.0,Right-hand bat,Right-arm medium,
21d38d47,1175501,,A Aravinddaraj,India,9656.0,Right hand Bat,Right arm Medium,
c144a09d,27818,,A Chatterjee,India,-1289.0,,,
e62b4c77,294853,,A Chetty,South Africa,,,,
f68ea742,942821,,A Dolin,Australia,,,,
46d45fde,866029,A Hamilton,A Hamilton,New Zealand,,,,
a06d0f17,29403,,A Haque,India,,,,
2c772c89,1061788,,A Kovalevs,Australia,,,,
f0aadc22,638254,,A Sibanda,Zimbabwe,,,,
b786b38f,56228,,AFM Akhtaruddin,Bangladesh,-731.0,,,
b4a03e25,338858,,AG Walker,New Zealand,,,,
71de54c3,781115,,AGHM Alkandari Abdulrahman,Kuwait,6927.0,Right hand Bat,Right arm Medium,
3f77831b,781121,,AGHM Alkandari Mohammad,Kuwait,8852.0,Right hand Bat,,
075e9f9c,56011,,AI Mohammad Moniruzzaman,Bangladesh,2489.0,Right hand Bat,,
